last_name,first_name,degree,title,headshot,bio,group
Brown,Edward,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/staff/edward_brown.png,"Edward received degrees in Systems Engineering and Economics from the University of Virginia. Prior to coming to the University of Michigan, he worked as a systems engineer and an data scientist in projects raging from the tracking of antibiotic resistant bacteria to the prediction of hate crimes in Louisiana. He developed an expertise in spatial modeling while working on software which aided soldiers in Afghanistan and Iraq better understand the factors involved in road side bomb emplacement. He is passionate about leveraging insights from data to improve decision making and he helps researchers do that with the lab's Morphomics data. ",staff
Cunningham,Kristen,MPA,"Technical Project Manager, MAG/Michigan Surgical & Health Optimization Program (MSHOP)",http://med.umich.edu/surgery/stewartcwang/team_headshots/staff/kristen_cunningham.png,"For 10 years prior to coming to the University, Kristen worked in local government in southeastern Michigan. She was hired by the University of Michigan in 2008 on a federal grant that assisted communities in responding to automotive manufacturing decline in the auto belt states. Since then, she has continued her work with the University as a project manager for both technical and data analysis projects. Kristen earned her B.A. from Michigan State University, James Madison College, in Political Theory & Constitutional Democracy, and a Master of Public Administration from Eastern Michigan University.",staff
Crain-Polly,Missy,,Crash Specialist,http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/missy_crain_polly.png,Missy is the newest member to the ICAM crash investigation team. Missy brings a law enforcement background to the group and recently served as a sheriff’s deputy for a nearby county agency over the past several years. Missy’s knowledge of traffic and crash related incidents offers insight and a strong working relationship with local law enforcement personnel. Missy has a B.F.A. in Graphic Design from Western Kentucky University.,staff
Derstine,Brian,M.S.,"Data Scientist, Morphomics Analysis Group",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/brian_derstine.png,"Brian received his B.A. from University of Chicago and his M.S. from University of California, Berkeley.  Prior to coming to the University of Michigan, he worked in private industry for over 10 years as a data analyst, consultant, and project manager in consumer goods marketing research, internet marketing, and transportation software development.  He specializes in R, Tableau, and SQL for data management, visualization, and analysis and helps to organize and shepherd the lab&#39;s clinical research projects from conception to publication.",staff
Enchakalody,Binu,M.S.,"Research Software Engineer, MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/binu_enchakalody.png,"He received his Bachelors in Biomedical Engineering from Cochin University, India in 2000 after which he completed his M.S. with a thesis in Biomedical Engineering from Wright State University, Ohio in 2008. After graduation, he worked at iCAD, Inc. and Monsanto as an Image Processing Engineer before joining MAG in 2010. He actively collaborates with medical researchers and data experts to create automated and semi-automated tools to analyze and predict the variations in human and animal body structures.",staff
Fast,Anne,R.N.,"Level E Clinical Nurse, Michigan State Burn Coordination Center, University of Michigan Hospital, Trauma Burn Unit",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/anne_fast.png,"Anne received her RN diploma in 1984 from the Hurley School of Nursing and her BSN from the University of Michigan-Flint in 2004. She began her nursing career at Hurley Medical Center in 1984 working in the Neuro/Trauma unit. In 1988, she took the Oath of Office and became an officer in the United States Army Reserve. She was in charge of the DEPMEDS (Deployable Medical Systems) section of the 323rd Combat Support Hospital in which she was instrumental in designing, moving, and building a transportable hospital in the field of combat. She was awarded numerous medals for her training of the personnel for preparedness, and separated in 2001. She came to Trauma Burn Unit in 1999 as a staff nurse. From 2008 to 2012 she was Nursing Supervisor for the Trauma Burn Unit; she now splits her time between staffing and training.  She has a passion for educating and when the opportunity arose to work with Dr. Wang and the State of Michigan Burn Disaster Plan she found her dream. Anne trains and educates personnel around the state in preparing for a disaster resulting in a large number of burn victims. She is active in the American Burn Association (ABA) Disaster SIG in which she is the co-chair. She has presented at local, state, and national level conferences regarding the State of Michigan Burn Plan.",staff
Henderson,Brianna,,"Research Area Specialist Associate, Pediatric Surgery",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/brianna_henderson.png,"Brianna received her B.A. from the University of Michigan in May 2014. As an undergraduate, Brianna worked for ICAM as a Research Assistant and collaborated on various projects using Analytic Morphomics. After graduation, she worked as a Research Assistant at the University of Michigan-School of Public Health on the Household Influenza Vaccine Effectiveness (HIVE) study where she recruited eligible households to see how well the influenza vaccine worked in preventing influenza. Currently, Brianna is collaborating with Peter Ehrlich, M.D. MSc, on a study which looks at the injury patterns of children who have been in motor vehicle crashes by using Analytic Morphomics. Brianna is planning to pursue a Master's degree in Public Health to further her career in research in order to help make the world safer for generations to come.",staff
Hwang,Eunjoo,,"Research Specialist, Intermediat, Biomechanics, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/eunjoo_hwang.png,"Eunjoo have a master degree in Mechanical Engineering at the University of Michigan and an interdepartmental doctoral degree in Biomedical Engineering and Kinesiology at the University of Michigan. As a postdoctoral research fellow, Eunjoo worked in the Biosciences Group at the University of Michigan Research Transportation Institute. Her current areas of expertise are in constitutive modeling of the musculoskeletal bone and soft tissue, orthopaedic biomechanics, injury mechanics, and computational mechanics.To understand the mechanism of tissue failure, disease or injury, to better treat the disease or prevent the injury, and to design the biomedical or health care devices, her approach to research biomechanics is strongly collaborative and interdisciplinary. She actively collaborated clinicians in the Department of Orthopadics for her doctoral degree, and co-worked with automotive industries for her post-doctoral fellowship. Currently, she is working on the development of the elderly human body model based on the population-based morphomic data, and is studying on femur and rib bone to use the current morphomic data for biomechanical research. ",staff
Knox,Carol,,"Administrative Assistant to the Director and Associate Director, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/carol_knox.png,"Carol has recently returned to the University of Michigan after a long hiatus that included raising children and a stint in the fiber arts industry.  After obtaining a degree in Russian Language and Literature at Oklahoma State University in 1990, Carol came to work at the University of Michigan in the Reproductive Sciences Program in 1992.",staff
Kohoyda-Inglis,Carla,MPA,"Program Director, ICAM/UMPIRE",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/carla_kohoyda_inglis.png,Carla received a Master's of Public Administration from the Gerald R. Ford School of Public Policy at the University of Michigan in 2006.  She has worked in the field of crash research since 1997 and is a valuable member of the University of Michigan Program for Injury Research and Education (UMPIRE) team.,staff
League,Lauren,,"Web Designer, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/lauren_league.png,"Part designer, part developer, Lauren creates vibrant images and interfaces that enable us to make a connection with our audience. In 2014, she earned a dual bachelor's degree from The University of Michigan in both Design and Psychology, a unique combination that gave her insight on how products can be designed for human interaction. Lauren has a passion for technology and has been learning programming skills for fun over the past 3 years. Combining design, psychology, and technology, she works towards making an audience's experience simple, informative, and most importantly, enjoyable.",staff
Leary,Kate,,Research Specialist,http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/kate_leary.png,"In April 2017, Kate graduated from the University of Michigan. She received a Bachelor of Science in Philosophy, reflecting her love of both science and the humanities. During her junior and senior years at Michigan, Kate was a student research assistant for the Morphomics Analysis Group. Under the direction of Dr. Barbra Miller, Kate processed hundreds of scans to help with the identification of morphomic markers for adrencortical cancer patients. Now Kate works full-time for the MAG lab, where she will continue processing CT scans while aiding in the integration of morphomics into the clinical setting. Kate hopes to attend medical school in the fall of 2018, but in the mean time she enjoys learning all she can from the medical research setting the ICAM/MAG lab provides.",staff
Lee,Chris,,Research Specialist,http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/chris_lee.png,"For the past 3 years, Chris has collaborated with surgeons and students to further various MAG projects. He went on to investigate the effects of dorsal muscle group on liver transplantation outcome under the mentoring of Dr. Michael J. Englesbe, and later served as a data analyst for student projects.  While at college, his time away from his studies was spent as a member of the Michigan Drumline and a chef. Chris received his B.S. in Life Sciences Informatics from University of Michigan in 2016. He's currently tasked with data analytics and optimizing the implementation of morphomics. He moves to leverage the novel methods emerging from big data towards advancing MAG. As an avid enthusiast for the music and cooking of the South, he hopes to move there one day and escape the cold.",staff
MacWilliams,Joel,,"Crash Investigator, ICAM",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/joel_macwilliams.png,"Joel has been conducting research on automobile crashes for the past 36 years.  He spent the first 15 years working as a contractor to the National Highway Traffic Safety Administration (NHTSA) as a field investigator, trainer, quality control specialist, and special investigator.  He has been with the University of Michigan for the past 21 years working with physicians, EMTs, nurses, educators, and engineers who are researching injury causation/impact biomechanics and vehicle-based countermeasures in order to reduce or eliminate the injurious effects of motor vehicle crashes.  Joel has vast experience in automobile collision dynamics, occupant kinematics, vehicle safety systems performance and effectiveness.  Joel is currently the senior crash investigator at ICAM and works cooperatively with the Washtenaw County Medical Examiner's Office.",staff
Malcomson,Cam,,Crash Investigation Specialist with ICAM,http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/cam_malcomson.png,"Cam received his B.A. in Criminal Justice from the University of Michigan — Dearborn and shortly thereafter received his M.S. in Criminal Justice from Wayne State University. Cam comes from a criminal justice background and brings a unique perspective to the ICAM team. At ICAM, Cam will be analyzing and gathering pertinent data from motor vehicle crashes for the research team.",staff
Parviz,Sarah,,"Program Coordinator, Michigan State Burn Coordination Center, University of Michigan Health System Trauma Burn Unit",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/sarah_parviz.png,"Sarah provides the Unit with clinical administrative support, assisting Dr. Wang in his organizational, educational, and quality assurance efforts as the Burn Director.  Sarah is also involved in Dr. Wang's projects with the Plain Community, and assists with the UMHS Burn Unit's outreach, research, and education efforts. She also participates in various ICAM and MAG research endeavors.  Sarah, an Ann Arbor native, graduated from the University of Michigan in 1991 with a degree in History.",staff
Pruszynski,Michelle,RTR (R) (VI),"Research Analysist, ICAM / MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/michelle_pruszynski.png,"Michelle graduated from Washtenaw Community College in 2012 and earned licensure with the American Registry of Radiologic Technologists in two specialties, Radiography and Vascular-Interventional.  She went on to complete her B.S. in Health Care Administration from Siena Heights University in 2015. Michelle has worked for Michigan Medicine Radiology for over ten years and brings clinical experience and expertise to the department’s various research projects. ",staff
Ross,Brian,(R)(CT),"Research Analyst, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/brian_ross.png,"Brian started his position with ICAM and MAG in 2015.  He graduated from Michigan State University with a B.S. degree in physiology in 2003 then earned licensure with the American Registry of Radiologic Technologists via an AAS degree from Lansing Community College in 2006. After working for two years in the University of Michigan Health System's General Imaging department, Brian transferred to the Computed Tomography department where he worked as a technologist for seven years.  Brian brings his hands-on experience operating CT scanners to a field where CT scan images are used as a source of information for various research projects.",staff
Shah,Nidhi,,"Research Specialist, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/nidhi_shah.png,"Nidhi completed her Bachelors in Biomedical Engineering from Ganpat University, India and Masters in Biomedical Engineering with specialization in Biomechanics from New Jersey Institute of Technology, Newark, New Jersey. She has worked closely in the field of business research and entrepreneurship development in the life science industry back in India. After completion of her Masters, she worked at the University of Toedo researching on the biomechanical testing and analysis. She brings in biomedical research and project management experience to the department’s various research projects.",staff
Sullivan,June A.,MBA,"Managing Director, MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/june_sullivan.png,"She has a Bachelor's of Fine Art in photography, a Bachelor's of Science in psychology, and a Master's of Business Administration from California State University.  June has 20+ years' experience managing technical and research projects in both higher education and the private sector. She has been an integral part of the MAG team since its inception, is a certified project manager, and has spent the last 5 years focused on research associated with morphomics.",staff
Wang,Nicholas,,"Research Associate, MAG/ICAM",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/nicholas_wang.png,"He received his B.S. in Chemistry from Yale University in 2013, and began working at the U of M.  While at Yale, Nick worked as a student tech, fixing computers, as well as building websites.  In his spare time, he volunteers as an Academic Games coach for Clague Middle School; teaching kids how to creatively approach math, language and social studies.",staff
Campbell,Douglas P.,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/douglas_campbell.png,"Mr. Campbell became President of Campbell & Campbell Consulting and acquired the Automotive Safety Council (ASC) as a long-term client in June 2008 upon retiring from TRW after 22 years. In his capacity at TRW as Vice President of Engineering for the Global Occupant Safety Systems, he oversaw all engineering activities for the inflatable restraint, seat belt, steering wheel, safety and security electronics, and lane keeping product lines with a budget of over $300 million and 2200 people. Mr. Campbell earned a Bachelor of Science degree in Mechanical Engineering from Kettering University. He holds a Master of Science degree in Engineering Design and Economic Evaluation from the University of Colorado and a certificate in International Business Studies from the American International Graduate School of Business. A Professional Engineer, Mr. Campbell has been chairman of various committees of the Automotive Safety Council, the Society of Automotive Engineers, American Management Association, and the International Association of Oil Drilling. He has earned TRW's Chairman Award for Innovation, Baker International Management Award, numerous patents, the Engineering Innovation of the Year Award from Petroleum International magazine and NHTSA's Special Appreciation Award for career contributions to auto safety. As President of the Automotive Safety Council (ASC), Mr. Campbell oversees all of the 40 member organization's activities which involves many roles, some of which include: governmental affairs contact to help educate US and State Congressional members about auto safety; replies to NHTSA rule making/questions; promotes the use of Active, Passive, Interior, and Child Safety; supports activities of other groups involved in auto safety; and coordinates ASC member technical committees including the annual 4 day global safety conference which features the premier auto safety leaders of the world.",icam_advisory_council
Charles,Robert D.,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/robert_charles.png,"With 25+ years of general management, strategic planning, and business development experience gained in the US, Canada, Europe, Latin America, and Far East, Mr. Charles serves as Chairman and CEO of North Star Advisors, LLC (NSA), a Strategic Management, Global Sourcing, and Growth-Stage Investment Company. NSA’s entrepreneurial approach employs Advanced Analytics, Lean Six-Sigma techniques, and Strategic Alliances to resolve mission-critical complexities and improve operational performance across multiple functional areas. Additionally, NSA has successfully launched or incubated various start-up ventures, including Lean Healthcare Organization (a Revenue Cycle Management Company), MarginXL Capital Partners (a middle-market Private Equity Fund), and MarginXL Advisors (a Business Management Consultancy). Prior to founding NSA, Mr. Charles served as the President of a nascent medical technology company, as the Executive Vice President of Global Financial Services at Ford Motor Credit Co., a partner of CSC Index, and the President of Advanced Device Corp. In addition to holding senior positions with Bain & Co., Exxon Corp., and Chase Manhattan Bank, he earned a Master's in Business Administration from Harvard University's Graduate School of Business, and a Bachelor of Arts from Dartmouth College.",icam_advisory_council
Cole,Suzanne,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/suzanne_cole.png,"Ms. Cole is CEO of Miller Cole LLC, a management-consulting firm in Washington, D.C. specializing in legislative and regulatory affairs, advocacy and government funding for corporate technology R&D, and manufacturing. She is an expert in the development of successful integrated (product, regulatory, legislative) market strategies for industry. She has counseled corporate, nonprofit, and international clients on transportation, automotive safety, chemicals, energy, environmental, and public policy matters including state and federal regulatory and legislative issues. Ms. Cole chaired Global Automotive Safety Conferences for the Society of Plastics Engineers, which brought together automotive OEM, supplier executives, and engineers with medical and regulatory communities to discuss auto safety design, injury prevention, new materials applications, telematics, and electronic data recorders. She also served on numerous legislative committees at the state and federal levels: she was appointed by Governor Engler to the Michigan Broadband Development Authority; and served on the Resource Conservation and Recovery Act Revisions and Superfund Committees in Congress as well as the President's Export Council. She has testified before Congress on automotive safety, vehicle emissions and diesel technology and authored a white paper for the University of Michigan's Transportation Research Institute on Vehicle Recycling and End of Life of Vehicles. Formerly, Ms. Cole was the Vice President for Global Government Affairs (1996-1998) for the Ocean Group, PLC in London, England, wherein she led the global government and regulatory affairs effort, including U.S. Federal government relations, effectively established a global government interface capability, and served as the corporate representative to proactively shape and influence key policy actions critical to Ocean’s strategic objectives. She has a Bachelor's of Science from Michigan State University, a Master's of Business Administration from The University of Michigan, Ross Business School, and a Master's in Chemical Engineering from Wayne State University.",icam_advisory_council
Doan,Junia,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/junia_doan.png,"Junia Doan is the Producer/Interviewer of ""Uncommon Sense with Junia"", a biography program aired on regional PBS on Sundays. For 25 years she was a leader in programming and development for the Midland Matrix Festival, an annual Arts, Science and Humanities Festival in Midland, Michigan, MATRIX: Cinema, and Something New. She has also served on various boards including the Mackinac Center for Public Policy, The Population Reference Bureau, Washington, D.C., The Detroit Institute of Arts , Cranbrook Academy of Arts, Michigan Council for Humanities and Michigan Council for Arts & Cultural Affairs. A descendant of a pioneer Oklahoma family and a graduate of Barnard College, she worked in finance and fund management until she married her late husband, Herbert D. ""Ted"" Doan and moved to Midland, Michigan.Junia now resides in Midland and Manhattan.",icam_advisory_council
Lange,Robert C.,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/robert_lange.png,"Mr. Lange is a Principal and the Corporate Vice President for Exponent. He holds numerous affiliations and advisory appointments along with being published on a vast array of subjects. Mr. Lange has almost 40 years experience in automotive engineering, specializing in motor vehicle safety and public health. Of the hundreds of areas Mr. Lange has expertise, the following specialties show the breadth and depth of his knowledge base: safety technology development and insertion patterns; collision causal factors and collision typology; collision and injury risk assessment; occupant performance; owners' manuals and warnings; vehicle dynamics, responsiveness, and control; tire and wheel systems; chassis systems and collision avoidance; rollover vehicle dynamics, occupant kinematics, and injury mechanisms; autonomous sensor-based and cooperative wireless collision avoidance technologies; dynamic collision response for vehicles and occupants in planar and rollover events; occupant protection technologies; inflatable restraint sensor system design, performance, and specifications; fire cause, origin, and propagation; fuel system design and performance; post-collision performance and response; non-collision injury mechanisms; policy approaches to motor vehicle safety; and defect investigations.",icam_advisory_council
Lund,Adrian K.,Ph.D.,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/adrian_lund.png,"Dr. Lund is President of the Insurance Institute for Highway Safety (IIHS) and its affiliate, the Highway Loss Data Institute (HLDI). Dr. Lund earned his doctoral degree in Social Psychology from the State University of New York at Buffalo in 1975 and served as an assistant professor in Residence in the Department of Behavioral Sciences and Community Health at the University of Connecticut Health Center from 1974 to 1981. Since joining IIHS as a Behavioral Scientist in 1981, Dr. Lund's research has spanned the range of driver, vehicle, and roadway factors involved in the safety of motor vehicle travel. As Senior Vice President for Research from 1993 to 2001, he directed the development of the Institute's extensive vehicle testing program. Throughout his career at IIHS, Dr. Lund has participated in a number of government and non-governmental committees addressing ways to reduce the injuries, fatalities, and property damage from motor vehicle crashes. Currently, he serves as: a trustee for the Global New Car Assessment Programme (Global NCAP); an external advisory board member for the University of Michigan's Transportation Research Institute (UMTRI); and an advisor on the National Advisory Committee for the University of Wisconsin's Active Aging Research Center (AARC).",icam_advisory_council
O'Connor,Christopher,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/icam_advisory_council/christopher_oconnor.png,"Mr. O'Connor joined First Technology Safety Systems in 2007 as President & CEO, later named, Humanetics Innovative Solutions, Inc. During the last three years, Mr. O'Connor tripled the size of the business, developed several new products, improved operational performance, and generated profitable growth. Humanetics is the worldwide leader in its related safety & crash test markets. Mr. O'Connor is also the President & CEO of Safety Technology Holdings (STH) the parent company to Humanetics and HITEC, a high tech engineering services company. Mr. O'Connor started his leadership career in the U.S. Army and he currently continues to serve as a senior officer (Colonel) in the U.S. Army Reserves. Prior to Humanetics, Mr. O'Connor was at Morningside, a private investment group owning companies in the fields of automotive, medical, industrial, and advanced technology. From 1999 to 2007, he was President & CEO of Prospects Corp., an innovative sensor company with convenience and safety related products for the automotive marketplace. Mr. O'Connor received his Bachelor of Science in Electrical Engineering, and Master of Science in Mechanical & Manufacturing Engineering from Syracuse University. He is a graduate of the GE Advance Course, GE Crotonville Course, U.S. Army Command & General Staff College, and has completed Executive Management courses at Harvard and the prestigious Executive Program at the University of Michigan. Mr. O'Connor is the 2012 recipient of Ernst & Young's prestigious Entrepreneur of the Year 2012 Award as winner for Michigan & Northwest Ohio.",icam_advisory_council
Wang,Stewart C.,"M.D., Ph.D.",,http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/stewart_wang.jpg,"Dr. Wang is First Endowed Professor of Burn Surgery at the University of Michigan. He received his undergraduate education at Yale College and his M.D. at the University of Chicago Pritzker School of Medicine. He subsequently completed his surgical residency as well as a Ph.D. in immunology at the University of Pittsburgh before joining the University of Michigan faculty in 1995. Dr. Wang serves as Director of the University of Michigan Burn Center as well as the State of Michigan Burn Coordinating Center. He is the Founding Director of the multidisciplinary University of Michigan Program for Injury Research and Education (UMPIRE) as well as the International Center for Automotive Medicine (ICAM). For the past seventeen years, Dr. Wang has coordinated efforts to utilize the University of Michigan's extensive medical resources in support of improved understanding of the mechanisms by which injuries are caused during motor vehicle crashes. Through collaborative case reviews, medical specialists, policy makers and engineers have jointly achieved a deeper understanding of the mechanisms of injury causation as well as potential ways to prevent such injuries from occurring. He has established a fellowship program to train engineers in the interpretation of real life medical crash data and to facilitate the practical application of this data toward engineering improvements in vehicle safety design. He has also established several educational programs targeted toward rescue personnel and medical professionals to improve post-injury care. Dr. Wang's research is centered on injury. His basic science research focuses on local tissue responses to injury, burns, and infection. His clinical research focuses on utilizing high throughput analysis of body composition characteristics (Analytic Morphomics) to assess patient fragility and frailty. Dr. Wang has been continuously funded by the NIH since 1990 and currently holds funding from three institutes from the NIH as well as funding from the U.S. Departments of Transportation and Defense. Active areas of research investigation include: 1) immunologic responses following burn injury, 2) gene therapy modulation of immune responses to infection, 3) mechanisms of lung injury following trauma, and 4) mechanisms of motor vehicle crash injury.",icam_advisory_council